"#","Capability","Status","What we want","Why","Example cases","Question to confirm"
"0","AI thesis","Have it (advisory)","Ask anything in plain English + proactively surface issues, advisory only","Collapse raw telemetry -> insight -> action from hours to seconds, without fabricating a number","ask anything | proactive issue surfacing","Is 'ask anything + proactive, advisory only' right, or do they want the AI to act?"
"1","Conversational understanding","Partial","NL Q&A over live data; typos/shorthand/jargon understood","Operators won't learn query syntax; lowest-friction, most demo-able entry point","typo tolerance | vague intent -> brief | multi-clause | free-text -> SQL","How non-technical is the least technical user?"
"2","Agentic reasoning","Have it","Agent chains tools to reach a conclusion, not single-shot","Real questions need multi-step investigation; the differentiator vs a dashboard","investigator | optimizer | orchestration","Free ReAct vs guided playbooks - which do operators trust?"
"3","Autonomy ceiling","Have it (advisory)","Clarity on how far autonomy goes; today strictly advisory","Defines the entire safety model, tool set, and liability","A advisory (current) | B soft-action+approval | C operator-applied | D closed-loop","What is the ceiling A/B/C/D? If B+, which actions + who approves?"
"4","Agent toolbox","Partial","Right set of tools beyond the 6 read-only analytics tools","The agent is only as smart as its tools","cost/tariff | weather | maintenance-history | forecast | production-schedule","Rank candidate tools; which data behind them actually exists?"
"5","Grounding & truthfulness","Have it","Every number traceable; refuse when data doesn't support an answer","One fabricated figure destroys trust; acting on a wrong number has real cost","numbers from analytics not arithmetic | premise verification | numeric reference check | citations","Is 'cite every claim + provable numbers' a hard gate or best-effort?"
"6","Explainability","Partial","Operator can see how the AI reached an answer","Engineers won't act on a black box; trace is also our best debug/eval signal","live reasoning trace | audit panel | confidence signaling","How much reasoning trace do operators want vs find noisy?"
"7","Knowledge & RAG","Partial","Grounded in HVAC domain knowledge, citable","Telemetry says what is happening; the KB says what it means + what to do","curated markdown (current) | OEM PDF/Word | SharePoint/Confluence","What docs to cite, what formats, and who keeps them correct?"
"8","Memory & context","Partial","Holds session context; ideally recalls equipment history","Follow-ups need memory; recall makes the AI feel like a colleague","session (have) | equipment memory | preference memory","How long should it remember; is cross-session equipment memory worth prioritizing?"
"9","Proactive intelligence","Want it","AI surfaces problems on its own, not only when asked","Biggest operational wins come from catching drift early","morning brief | anomaly alert | trend watch","Is proactive output wanted, and where should it land (app/Slack/email)?"
"10","Multi-modal (vision)","Partial","Interpret images alongside text","Operators photograph things on the floor; high-value + demo-friendly","nameplate read | gauge/HMI read | chart critique","Vision: a real operator need or a demo nicety?"
"11","Model strategy","Have it","Right-sized open-weights model per task; everything on-prem","Right-sizing controls latency/VRAM; OSS protects data sovereignty","3-model right-sizing (current) | vLLM scale-up | LoRA fine-tune","OSS mandate firm with no exceptions? What GPU + concurrency committed?"
"12","Evaluation","Partial","Regression-proof quality check before every release","Prompt/model changes silently break answers; eval makes changes safe","27 deterministic (have) | LLM-as-judge | numeric reference | feedback -> eval","Pass bar for trustable: eval+demo / expert sign-off / provable numbers?"
"13","Learning loop","Want it","Thumbs up/down on every answer feeding review + improvement","Cheapest signal for what's wrong; builds the future fine-tune dataset","verdict capture | failed -> eval case | fine-tune fuel","Commit to collecting feedback now so the loop + fine-tune have data?"
"14","Delivery of intelligence","Partial","Insight via the right surface - web/Slack/email/PDF","An insight nobody sees has zero value; delivery is part of the product","web app (current) | Slack brief/alerts | weekly PDF email","Which surfaces do operators and management actually want?"
"15","Reliability of AI experience","Have it","Graceful degrade when model/network/DB is down or slow","Trust is lost as fast at failure time as at hallucination time","model down -> banner | slow -> stream/vLLM | stale -> 'as of HH:MM'","Acceptable latency + degraded-mode expectation?"
